State,Website,State Code,Operator Count
Florida,https://dos.myflorida.com/sunbiz/other-services/ucc-information/,FL,118
California,http://www.sos.ca.gov/business-programs/ucc/,CA,104
Texas,http://www.sos.state.tx.us/ucc/index.shtml,TX,73
Alaska,https://dnr.alaska.gov/ssd/recoff/ucc,AK,63
Pennsylvania,https://www.dli.pa.gov/Individuals/Labor-Management-Relations/bois/fee-schedules/Pages/UCC.aspx,PA,36
New York,https://dos.ny.gov/ucc-frequently-asked-questions,NY,30
South Carolina,https://sos.sc.gov/online-filings/uniform-commercial-code,SC,23
Illinois,https://www.ilsos.gov/departments/business_services/uniform_commercial_code/home.html,IL,23
Michigan,http://www.michigan.gov/sos/0,1607,7-127-1631_8851---,00.html,MI,23
Colorado,http://www.sos.state.co.us/pubs/UCC/uccHome.html,CO,22
Idaho,https://sos.idaho.gov/uniform-commercial-code/,ID,21
Ohio,http://www.sos.state.oh.us/SOS/Businesses/UCC.aspx,OH,20
Montana,https://sosmt.gov/business/ucc/,MT,19
Arizona,https://azsos.gov/business/uniform-commercial-code-ucc,AZ,19
New Jersey,https://www.njportal.com/ucc/,NJ,18
Hawaii,https://dlnr.hawaii.gov/boc/forms/,HI,18
South Dakota,https://sosenterprise.sd.gov/ucc/,SD,18
Wisconsin,https://dfi.wi.gov/Pages/BusinessServices/UCC/GeneralInformation.aspx,WI,17
Oregon,https://sos.oregon.gov/business/Pages/ucc.aspx,OR,17
Georgia,http://www.gsccca.org/Search/UCC_search/,GA,17
Virginia,https://www.scc.virginia.gov/businesses/ucc/,VA,16
Nevada,https://www.nvsos.gov/sos/sos-information/office-facts/faqs-all-division/uniform-commercial-code,NV,16
Tennessee,https://sos.tn.gov/search?search_keywords=ucc,TN,15
Louisiana,http://www.sos.la.gov/BusinessServices/UniformCommercialCode/Pages/default.aspx,LA,14
Washington,https://www.dol.wa.gov/business/UCC/uccforms.html,WA,14
Minnesota,https://www.sos.state.mn.us/business-liens/ucc-cns-tax-liens-help/,MN,14
Indiana,https://inbiz.in.gov/business-filings/ucc,IN,14
Massachusetts,https://www.sec.state.ma.us/divisions/corporations/filing-by-subject/ucc/corporations-uniform-commercial-code.htm,MA,13
North Carolina,https://www.sosnc.gov/divisions/uniform_commercial_code,NC,13
Arkansas,https://www.sos.arkansas.gov/business-commercial-services-bcs/uniform-commercial-code-ucc/,AR,13
Missouri,http://www.sos.mo.gov/ucc/generalInfo.asp,MO,10
New Mexico,https://www.sos.nm.gov/commercial-services/ucc-filings/ucc-forms-2/,NM,10
Iowa,http://sos.iowa.gov/business/UCCInfo.html,IA,9
Oklahoma,https://www.oklahomacounty.org/county-information/uniform-commercial-code-ucc,OK,8
Puerto Rico,https://state.pr.gov/en/,PR,8
Connecticut,https://business.ct.gov/manage/all-business-filings/file-ucc-liens?language=en_US,CT,8
Maryland,https://egov.maryland.gov/SDAT/UCCFiling/UCCMainPage.aspx,MD,7
New Hampshire,https://sos.nh.gov/corporation-ucc-securities/ucc/uniform-commercial-code-ucc/,NH,7
Alabama,https://www.sos.alabama.gov/business-services/ucc-home,AL,7
Utah,https://secure.utah.gov/uccsearch/uccs,UT,7
Nebraska,http://www.sos.ne.gov/business/ucc/index.html,NE,6
Kansas,https://sos.ks.gov/general-services/ucc-filing-information.html,KS,6
North Dakota,http://www.nd.gov/sos/businessserv/centralindex/index.html,ND,5
Kentucky,http://www.sos.ky.gov/bus/UCC/Pages/default.aspx,KY,4
West Virginia,https://sos.wv.gov/business/Pages/UCCFilingProc.aspx,WV,4
Wyoming,http://soswy.state.wy.us/Business/Default.aspx,WY,3
Delaware,http://corp.delaware.gov/ucc.shtml,DE,3
Maine,http://www.maine.gov/sos/cec/ucc/index.html,ME,3
Rhode Island,https://www.sos.ri.gov/divisions/business-services/ucc/,RI,2
Mississippi,https://www.sos.ms.gov/business-services/ucc-search,MS,2
Vermont,https://sos.vermont.gov/business-services/ucc-liens/,VT,1
District of Columbia,https://otr.cfo.dc.gov/page/recorder-deeds,DC,1
